sdg,extracted_title,extracted_abstract,initial_text
SDG10,dynamic dependence fossil energy investor sentiment renewable energy stock markets,investigates dynamic directional information spillover return volatility fossil energy market investor sentiment towards renewable energy renewable energy stock market connectedness network approach empirical show spillover effects volatility system generally stronger return system suggest risk transmission markets obvious systems impact fossil energy market especially crude oil renewable energy stock market greater impact investor sentiment renewable energy stock market finding shows renewable energy stock market closely related fossil energy market furthermore rolling window approach adopted examine timevarying information spillover dynamic findings suggest investor sentiment towards renewable energy explain return volatility renewable energy stock certain degree,dynamic dependence fossil energy investor sentiment renewable energy stock markets abstract investigates dynamic directional information spillover return volatility fossil energy market investor sentiment towards renewable energy renewable energy stock market connectedness network approach empirical show spillover effects volatility system generally stronger return system suggest risk transmission markets obvious systems impact fossil energy market especially crude oil renewable energy stock market greater impact investor sentiment renewable energy stock market finding shows renewable energy stock market closely related fossil energy market furthermore rolling window approach adopted examine timevarying information spillover dynamic findings suggest investor sentiment towards renewable energy explain return volatility renewable energy stock certain degree
SDG10,novel renewable energy selection model united nations sustainable development goals,united nations announced new sustainable development goals sdgs safeguard earth end poverty new global sustainable development agenda one sdgs goal affordable clean energy despite importance tools guide policymakers aligning domestic policies sdgs paper addresses research gap introduces numerical decisionsupport method identifying suitable renewable energy source res res selection according sdgs challenge decision makers article presents integrated multicriteria decisionmaking mcdm method based hesitant fuzzy linguistic hfl term set decision criteria weighed hfl analytic hierarchy process ahp appropriate res alternative chosen hfl complex proportional assessment copras technique value method demonstrated case turkey comparative approach constitutes novelty proposing numerical model sdgs combines ahp copras hfl environment group decisionmaking first time method help policymakers better structuring local energy policies regard global efforts developing country setting,novel renewable energy selection model united nations sustainable development goals abstract united nations announced new sustainable development goals sdgs safeguard earth end poverty new global sustainable development agenda one sdgs goal affordable clean energy despite importance tools guide policymakers aligning domestic policies sdgs paper addresses research gap introduces numerical decisionsupport method identifying suitable renewable energy source res res selection according sdgs challenge decision makers article presents integrated multicriteria decisionmaking mcdm method based hesitant fuzzy linguistic hfl term set decision criteria weighed hfl analytic hierarchy process ahp appropriate res alternative chosen hfl complex proportional assessment copras technique value method demonstrated case turkey comparative approach constitutes novelty proposing numerical model sdgs combines ahp copras hfl environment group decisionmaking first time method help policymakers better structuring local energy policies regard global efforts developing country setting
SDG10,renewable nonrenewable categories energy consumption trade development degree industrialization degree matter,current discusses linear nonlinear relationship trade nonrenewable renewable energy consumption countries extending empirical models integrate additional variables affect abovementioned relationship gdp co emissions domestic resources abundance interaction terms innovation paper compare developed developing countries industrialized countries nonindustrialized ones integrating dummy variables models empirical demonstrate trade energy consumption renewable nonrenewable mutually reinforcing linear relationship moreover validity nonlinear relationships accepted case impact nonrenewable trade latter follows inverted ushape form case developed industrialized countries ushape one case developing nonindustrialized countries addition findings indicate positive contribution gdp capital labor trade energy consumption however co emissions natural resource positive impacts trade nonrenewable energy negative effect renewable energy implies policy makers develop appropriate policies profit trade energy consumption,renewable nonrenewable categories energy consumption trade development degree industrialization degree matter current discusses linear nonlinear relationship trade nonrenewable renewable energy consumption countries extending empirical models integrate additional variables affect abovementioned relationship gdp co emissions domestic resources abundance interaction terms innovation paper compare developed developing countries industrialized countries nonindustrialized ones integrating dummy variables models empirical demonstrate trade energy consumption renewable nonrenewable mutually reinforcing linear relationship moreover validity nonlinear relationships accepted case impact nonrenewable trade latter follows inverted ushape form case developed industrialized countries ushape one case developing nonindustrialized countries addition findings indicate positive contribution gdp capital labor trade energy consumption however co emissions natural resource positive impacts trade nonrenewable energy negative effect renewable energy implies policy makers develop appropriate policies profit trade energy consumption
SDG10,effect increased buildingintegrated renewable energy building energy portfolio energy flows urban district korea,renewable energy sources solar panels energy storage groundsource heat pumps fuel cells increasingly integrated buildings improve sustainability paper investigates urban area effects buildingintegrated renewable energy building energy portfolio electricity gas flows grid apartment buildings nonresidential buildings floor area district seoul korea assumed integrate renewable energy sources satisfy renewable energy requirements total energy demand respectively optimal renewable energy system building obtained via linear programming optimization carried based hourly electricity heating cooling loads every building year period energy loads turn derived monthly electricity gas usage every building renewable energy portfolio apartment buildings consists photovoltaics fuel cells solar water heaters renewable energy apartment buildings provided photovoltaics renewable energy portfolio nonresidential buildings consists groundsource heat pumps photovoltaics renewable energy provided groundsource heat pumps consequently total electricity gas supply grid buildings district decrease respectively photovoltaics induce large variation power flow grid daytime ie socalled duck curve annual peak power occurs winter mornings electricity powered heating groundsource heat pumps replaces gas heating maximum heat demand occurs winter mornings,effect increased buildingintegrated renewable energy building energy portfolio energy flows urban district korea abstract renewable energy sources solar panels energy storage groundsource heat pumps fuel cells increasingly integrated buildings improve sustainability paper investigates urban area effects buildingintegrated renewable energy building energy portfolio electricity gas flows grid apartment buildings nonresidential buildings floor area district seoul korea assumed integrate renewable energy sources satisfy renewable energy requirements total energy demand respectively optimal renewable energy system building obtained via linear programming optimization carried based hourly electricity heating cooling loads every building year period energy loads turn derived monthly electricity gas usage every building renewable energy portfolio apartment buildings consists photovoltaics fuel cells solar water heaters renewable energy apartment buildings provided photovoltaics renewable energy portfolio nonresidential buildings consists groundsource heat pumps photovoltaics renewable energy provided groundsource heat pumps consequently total electricity gas supply grid buildings district decrease respectively photovoltaics induce large variation power flow grid daytime ie socalled duck curve annual peak power occurs winter mornings electricity powered heating groundsource heat pumps replaces gas heating maximum heat demand occurs winter mornings
SDG10,energy consumption heating costs detached house year period renewable fuels versus fossil fuels,currently european union eu population live houses usually need separate boilers generate thermal energy research presented paper pertained detached house northeast poland thermal energy generated consecutive years burning wood briquettes analysed quality quantity wood briquettes energy consumption cost thermal energy generation house automatic biomass burning unit compared types fuels annual consumption briquette energy gj year average annual cost thermal energy generation house year cost boiler purchase service fuel purchase costs taken account year operating cost briquettefired boiler found similar operation cost coalfired boiler higher compared willow chipsfired boiler operation boiler fired fuels like pellets natural gas heating oil period expensive respectively,energy consumption heating costs detached house year period renewable fuels versus fossil fuels currently european union eu population live houses usually need separate boilers generate thermal energy research presented paper pertained detached house northeast poland thermal energy generated consecutive years burning wood briquettes analysed quality quantity wood briquettes energy consumption cost thermal energy generation house automatic biomass burning unit compared types fuels annual consumption briquette energy gj year average annual cost thermal energy generation house year cost boiler purchase service fuel purchase costs taken account year operating cost briquettefired boiler found similar operation cost coalfired boiler higher compared willow chipsfired boiler operation boiler fired fuels like pellets natural gas heating oil period expensive respectively
SDG10,ghana achieve renewable energy target electricity policy legal regulatory implications,republic ghana aims develop utilise renewable energy energy efficiency technologies achieve penetration national electricity production government aims achieve national electrification renewable energy identified catalyst achieving policy goal situation however december ghana able achieve penetration rate electricity renewable energy sources total generation mix paper argues ghana unable reach renewable energy target given needs integrate renewables whiles able achieve penetration rate since legal regulatory issues lack legislative instruments regulatory agencies incumbent upon achieving renewable energy policy target lack independence institution structure lack regulatory assessment key reasons behind argument implication issues investors lose confidence governments ability maintain achieve current future renewable energy policy goals investors become uncertain leads underinvestment renewable projects subsequently failure achieving renewable energy targets,ghana achieve renewable energy target electricity policy legal regulatory implications abstract republic ghana aims develop utilise renewable energy energy efficiency technologies achieve penetration national electricity production government aims achieve national electrification renewable energy identified catalyst achieving policy goal situation however december ghana able achieve penetration rate electricity renewable energy sources total generation mix paper argues ghana unable reach renewable energy target given needs integrate renewables whiles able achieve penetration rate since legal regulatory issues lack legislative instruments regulatory agencies incumbent upon achieving renewable energy policy target lack independence institution structure lack regulatory assessment key reasons behind argument implication issues investors lose confidence governments ability maintain achieve current future renewable energy policy goals investors become uncertain leads underinvestment renewable projects subsequently failure achieving renewable energy targets
SDG10,renewable energy consumption eu countries policy toward pollution mitigation economic sustainability,major challenge facing humans st century strike balance mitigation environmental degradation achievement sustainable economic growth note investigation applies autoregressive distributed lag ardl methodology panel european union eu countries period confirms existence positive significant longrun nexus environmental sustainability renewable energy consumption economic growth eu countries addition empirical indicate real gross fixed capital formation carbon emissions environmental factors principal determinants longrun growth eu dumitrescu hurlin granger noncausality heterogeneous panel show longrun bidirectional causal relationships renewable energy consumption economic growth growth determinants based infer exploitation renewable energy sources eu countries reliable pathway toward environmental pollution mitigation consequently achieving sustainable development goals sdgs year renewable energy consumption carbon emission mitigation much achievable eu countries adopted countries effective global policy,renewable energy consumption eu countries policy toward pollution mitigation economic sustainability major challenge facing humans st century strike balance mitigation environmental degradation achievement sustainable economic growth note investigation applies autoregressive distributed lag ardl methodology panel european union eu countries period confirms existence positive significant longrun nexus environmental sustainability renewable energy consumption economic growth eu countries addition empirical indicate real gross fixed capital formation carbon emissions environmental factors principal determinants longrun growth eu dumitrescu hurlin granger noncausality heterogeneous panel show longrun bidirectional causal relationships renewable energy consumption economic growth growth determinants based infer exploitation renewable energy sources eu countries reliable pathway toward environmental pollution mitigation consequently achieving sustainable development goals sdgs year renewable energy consumption carbon emission mitigation much achievable eu countries adopted countries effective global policy
SDG10,dismantling renewable energy policies cases spain czech republic,despite increasing cost competitiveness continued expansion renewable energy remains dependent policy support moreover dismantling renewable energy policies number former pioneer countries indicates continued policy support foregone conclusion yet light accelerating expansion renewable energy dismantling renewable energy policies captured comparatively less attention rapid spread support schemes article seeks fill important knowledge gap developing testing framework policy dismantling processes renewable energy sector applies framework conduct comparative policy dismantling spain czech republic countries represent european pioneers renewable energy support subsequently dismantled policies paper finds interrelationship policy design broader configuration political economy energy sector key understanding dismantling processes offers number conclusions design robust renewable energy support policies,dismantling renewable energy policies cases spain czech republic abstract despite increasing cost competitiveness continued expansion renewable energy remains dependent policy support moreover dismantling renewable energy policies number former pioneer countries indicates continued policy support foregone conclusion yet light accelerating expansion renewable energy dismantling renewable energy policies captured comparatively less attention rapid spread support schemes article seeks fill important knowledge gap developing testing framework policy dismantling processes renewable energy sector applies framework conduct comparative policy dismantling spain czech republic countries represent european pioneers renewable energy support subsequently dismantled policies paper finds interrelationship policy design broader configuration political economy energy sector key understanding dismantling processes offers number conclusions design robust renewable energy support policies
SDG10,storage cost induced large substitution nuclear intermittent renewable energies french case,paper explains adverse effects due massive injection renewables electricity storage available fall electricity prices spot market crowdingout effect nuclear power stations due merit order logic french experience presents model calculates additional cost electricity production share nuclear generation reduced instead today compensation renewable energy wind solar stored either batteries powertogas simulations minimize cost energy mix optimizing electricity storage mix batteries daily storage powertogasgastopower seasonal storage paper estimates negative externalities intermittent renewable energies lie mwh examines impact merit order negative externalities accounted finally simulation lead us provide recommendations concerning rd electricity storage policy electricity mix fine tuning,storage cost induced large substitution nuclear intermittent renewable energies french case abstract paper explains adverse effects due massive injection renewables electricity storage available fall electricity prices spot market crowdingout effect nuclear power stations due merit order logic french experience presents model calculates additional cost electricity production share nuclear generation reduced instead today compensation renewable energy wind solar stored either batteries powertogas simulations minimize cost energy mix optimizing electricity storage mix batteries daily storage powertogasgastopower seasonal storage paper estimates negative externalities intermittent renewable energies lie mwh examines impact merit order negative externalities accounted finally simulation lead us provide recommendations concerning rd electricity storage policy electricity mix fine tuning
SDG10,comprehensive indicator set measuring multiple benefits energy efficiency,paper develop quantitative indicator approach including indicators measure multiple benefits energy efficiency mbee mbees classified three groups environmental eg energy savings emissions economic eg gdp employment social health energy poverty aspects explain methodological approach underlying sources limitations indicator set applied countries eu plus norway period proving allows conduct indepth comparisons developments differences across europe indicator set supports design wellsuited energy policies allowing take account informed basis multiple impacts energy efficiency example effect energy savings period germany shows ghg savings mtcoeq avoided deaths due less air pollution reduction germanys import dependency percentage points growth gdp around per year period consequence improved energy efficiency conclude presented approach allows comprehensively regularly assess policies terms mbees,comprehensive indicator set measuring multiple benefits energy efficiency abstract paper develop quantitative indicator approach including indicators measure multiple benefits energy efficiency mbee mbees classified three groups environmental eg energy savings emissions economic eg gdp employment social health energy poverty aspects explain methodological approach underlying sources limitations indicator set applied countries eu plus norway period proving allows conduct indepth comparisons developments differences across europe indicator set supports design wellsuited energy policies allowing take account informed basis multiple impacts energy efficiency example effect energy savings period germany shows ghg savings mtcoeq avoided deaths due less air pollution reduction germanys import dependency percentage points growth gdp around per year period consequence improved energy efficiency conclude presented approach allows comprehensively regularly assess policies terms mbees
SDG10,energy metabolism countries energy efficiency period followed global financial crisis,paper discusses deceleration economic growth followed financial crisis influenced energy efficiency allocation european countries multiscale integrated societal ecosystem metabolism musiasem relationships energy requirements economic trends population investigated years analyses performed entire society level n household paid sectors level n agricultural industrial service activities level n show two main groups countries performed largest energy reductions namely country affected global financial crisis greece romania spain total energy throughput decreased respectively countries ireland united kingdom experienced largest energy intensity reductions together highest gdp increases providing overview relationships existing socioeconomic energy variables paper contributes debate around growth efficiency support design policies oriented promote achievement sustainable competitive economy,energy metabolism countries energy efficiency period followed global financial crisis abstract paper discusses deceleration economic growth followed financial crisis influenced energy efficiency allocation european countries multiscale integrated societal ecosystem metabolism musiasem relationships energy requirements economic trends population investigated years analyses performed entire society level n household paid sectors level n agricultural industrial service activities level n show two main groups countries performed largest energy reductions namely country affected global financial crisis greece romania spain total energy throughput decreased respectively countries ireland united kingdom experienced largest energy intensity reductions together highest gdp increases providing overview relationships existing socioeconomic energy variables paper contributes debate around growth efficiency support design policies oriented promote achievement sustainable competitive economy
